,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,release date,artist popularity
0,0.657,0.622,3.0,-7.026,1.0,0.944,0.804,0.0,0.917,0.395,66.521,96053.0,2010-01-18,[49]
1,0.504,0.777,0.0,-8.583,1.0,0.037000000000000005,0.0648,9.93e-06,0.8029999999999999,0.35600000000000004,104.023,209277.0,2019-05-24,[77]
2,0.726,0.915,4.0,-5.407,0.0,0.23,0.0351,0.0,0.28300000000000003,0.8370000000000001,127.994,246826.0,2020-08-28,"[30, 26, 53, 57]"
3,0.204,0.0423,6.0,-26.704,1.0,0.0517,0.993,0.8270000000000001,0.112,0.0345,89.789,112000.0,2020-11-18,"[53, 27, 33]"
4,0.419,0.669,0.0,-8.137,0.0,0.0377,0.507,0.348,0.115,0.0382,94.837,252682.0,2012-06-15,[25]
5,0.562,0.925,9.0,-5.165,1.0,0.118,0.0192,0.0,0.0356,0.435,95.033,190895.0,2017-03-17,[41]
6,0.547,0.655,2.0,-11.707,1.0,0.0414,0.136,0.0073700000000000015,0.116,0.649,125.545,225560.0,1970,[42]
7,0.772,0.639,9.0,-13.425,0.0,0.737,0.878,0.0,0.385,0.6579999999999999,109.283,32298.0,2019-06-13,[6]
8,0.8959999999999999,0.883,0.0,-12.617,1.0,0.0451,0.046,0.928,0.424,0.0709,125.025,180820.0,2017-05-25,[35]
9,0.272,0.975,2.0,-3.323,1.0,0.114,7.38e-06,5.920000000000001e-05,0.0565,0.21,153.762,159320.0,2006,[39]
10,0.711,0.7290000000000001,8.0,-4.462,1.0,0.0822,0.0542,0.0,0.0822,0.363,138.099,189226.0,2010-11-29,"[91, 61, 78, 32]"
11,0.787,0.488,7.0,-16.266,1.0,0.0753,0.00111,0.942,0.0905,0.0726,126.003,651259.0,2020-09-11,[13]
12,0.57,0.516,11.0,-9.991,0.0,0.0269,0.00287,0.787,0.228,0.619,105.023,58253.0,2018-07-11,[9]
13,0.551,0.316,3.0,-10.14,0.0,0.0291,0.777,0.909,0.0797,0.337,82.014,128781.0,2019-06-10,"[65, 54, 48]"
14,0.187,0.998,1.0,-23.063,1.0,0.0609,0.124,0.652,0.907,1e-05,112.892,177029.0,2020-06-29,[67]
15,0.635,0.237,4.0,-17.796,1.0,0.942,0.337,0.0,0.0851,0.413,85.339,172043.0,2020-01-06,"[18, 13, 19]"
16,0.562,0.595,9.0,-12.875,1.0,0.077,0.181,0.00525,0.0472,0.871,205.05900000000003,190173.0,2009-03-24,[63]
17,0.821,0.453,11.0,-6.899,1.0,0.0308,0.604,0.902,0.221,0.7170000000000001,91.14,132375.0,2020-04-24,[38]
18,0.753,0.413,1.0,-16.692,1.0,0.363,0.201,0.0005099999999999999,0.0828,0.294,89.964,260667.0,2010-06-01,[0]
19,0.926,0.66,3.0,-8.033999999999999,1.0,0.0814,0.0047,0.961,0.154,0.898,136.313,225620.0,2019-10-15,"[52, 17]"
20,0.16399999999999998,0.139,0.0,-17.222,1.0,0.0413,0.633,0.841,0.104,0.0331,67.068,300000.0,2019-01-01,[0]
