,popularity
0,35
1,27
2,20
3,0
4,4
5,20
6,53
7,0
8,17
9,25
10,40
11,2
12,2
13,60
14,0
15,0
16,57
17,35
18,0
19,10
20,0
21,1
22,13
23,24
24,0
25,14
26,16
27,0
28,0
29,0
30,7
31,0
32,0
33,24
34,17
35,22
36,24
37,35
38,2
39,40
40,5
41,4
42,39
43,8
44,2
45,40
46,10
47,21
48,1
49,8
50,0
51,39
52,0
53,13
54,13
55,56
56,30
57,58
58,0
59,0
60,18
61,10
62,0
63,48
64,2
65,0
66,32
67,14
68,85
69,34
70,71
71,25
72,10
73,4
74,5
75,36
76,46
77,0
78,24
79,36
80,5
81,60
82,45
83,0
84,15
85,61
86,9
87,0
88,35
89,34
90,17
91,9
92,3
93,46
94,3
95,16
96,26
97,63
98,17
99,0
100,17
101,28
102,54
103,41
104,0
105,27
106,27
107,8
108,47
109,67
110,50
111,0
112,1
113,10
114,40
115,0
116,38
117,0
118,0
119,33
120,29
121,15
122,49
123,39
124,35
125,0
126,57
127,58
128,6
129,61
130,4
131,81
132,12
133,20
134,14
135,0
136,34
137,0
138,9
139,3
140,0
141,16
142,25
143,7
144,55
145,27
146,25
147,42
148,0
149,0
150,8
151,37
152,15
153,23
154,8
155,40
156,30
157,34
158,9
159,17
160,36
161,0
162,21
163,0
164,11
165,4
166,0
167,27
168,0
169,0
170,0
171,0
172,48
173,56
174,39
175,29
176,22
177,47
178,17
179,0
180,0
181,47
182,0
183,0
184,0
185,34
186,66
187,0
188,10
189,4
190,44
191,9
192,35
193,4
194,0
195,26
196,71
197,22
198,4
199,62
200,22
201,28
202,0
203,56
204,17
205,6
206,0
207,0
208,0
209,46
210,60
211,77
212,17
213,48
214,52
215,0
216,0
217,14
218,0
219,39
220,19
221,20
222,1
223,28
224,44
225,55
226,33
227,75
228,47
229,21
230,1
231,58
232,1
233,6
234,0
235,25
236,0
237,0
238,17
239,19
240,0
241,52
242,5
243,19
244,21
245,69
246,56
247,3
248,14
249,48
250,46
251,37
252,0
253,41
254,20
255,34
256,2
257,10
258,72
259,5
260,1
261,24
262,39
263,0
264,36
265,34
266,4
267,0
268,21
269,20
270,0
271,54
272,65
273,25
274,45
275,0
276,1
277,35
278,17
279,0
280,1
281,40
282,53
283,43
284,94
285,48
286,35
287,18
288,22
289,51
290,28
291,0
292,24
293,13
294,0
295,13
296,6
297,44
298,27
299,8
300,0
301,33
302,0
303,21
304,8
305,54
306,21
307,34
308,0
309,14
310,19
311,44
312,0
313,0
314,35
315,0
316,0
317,29
318,13
319,0
320,0
321,0
322,0
323,51
324,53
325,0
326,60
327,24
328,39
329,68
330,20
331,10
332,19
333,0
334,6
335,8
336,40
337,24
338,30
339,32
340,30
341,20
342,29
343,24
344,20
345,7
346,0
347,1
348,40
349,8
350,28
351,2
352,21
353,0
354,33
355,55
356,12
357,3
358,25
359,16
360,49
361,21
362,56
363,25
364,58
365,0
366,37
367,15
368,0
369,53
370,43
371,5
372,76
373,0
374,14
375,50
376,0
377,7
378,26
379,21
380,0
381,20
382,9
383,0
384,8
385,55
386,47
387,33
388,37
389,13
390,40
391,56
392,4
393,32
394,80
395,4
396,16
397,0
398,41
399,50
400,0
401,12
402,16
403,33
404,0
405,1
406,0
407,3
408,0
409,0
410,0
411,34
412,26
413,36
414,12
415,31
416,40
417,25
418,26
419,50
420,0
421,36
422,0
423,40
424,50
425,27
426,0
427,1
428,0
429,11
430,2
431,41
432,31
433,0
434,9
435,2
436,52
437,14
438,3
439,6
440,44
441,5
442,38
443,31
444,4
445,0
446,15
447,56
448,31
449,22
450,10
451,0
452,24
453,21
454,0
455,51
456,39
457,0
458,0
459,65
460,4
461,22
462,0
463,0
464,7
465,32
466,0
467,4
468,0
469,24
470,49
471,23
472,0
473,0
474,0
475,38
476,21
477,35
478,0
479,57
480,15
481,0
482,56
483,0
484,51
485,60
486,0
487,8
488,53
489,26
490,32
491,22
492,0
493,33
494,37
495,22
496,13
497,45
498,17
499,24
500,53
501,49
502,35
503,0
504,4
505,29
506,40
507,37
508,16
509,0
510,41
511,0
512,27
513,35
514,30
515,9
516,0
517,20
518,48
519,15
520,7
521,0
522,11
523,36
524,39
525,0
526,15
527,0
528,11
529,53
530,0
531,45
532,3
533,34
534,2
535,0
536,32
537,0
538,0
539,14
540,2
541,40
542,42
543,0
544,24
545,27
546,0
547,8
548,53
549,16
550,70
551,2
552,25
553,5
554,44
555,0
